"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"16",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:03:53.714Z",188,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.878052,43.693942,3,3,3,3,2,2
"17",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:05:38.713Z",195,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.864319,43.714046,3,3,3,3,2,2
"18",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:07:43.383Z",201,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.753769,43.699651,3,3,3,3,3,3
"19",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:07:18.304Z",200,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.782265,43.693694,3,3,3,3,3,3
"20",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T23:02:00.774Z",226,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.808014,43.610228,3,3,3,3,NA,3
"21",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:08:18.120Z",203,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.794624,43.653218,3,3,3,3,3,3
"22",131,"Associates","45 - 64  years","Male","Yes","Yes","2016-03-15T22:07:58.185Z",202,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.804237,43.680536,3,3,3,3,3,3
"23",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:35:39.313Z",214,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.882515,43.695431,1,3,1,3,3,3
"24",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:38:08.405Z",217,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.793938,43.651479,3,3,3,3,3,3
"25",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:37:08.980Z",216,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.783638,43.729926,3,3,3,3,3,3
"26",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T22:57:42.889Z",221,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.765099,43.682522,2,2,1,2,1,1
