"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longtitude","latitude","soil_quality","waterquality","wildlife","recreation","scenic","tourism","business","rural"
"74",148,"High School","45 - 64  years","Male","No","Yes","2016-03-15T22:21:30.921Z",208,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.866379,43.674328,3,3,3,2,2,3,3,3
"75",152,NA,NA,NA,NA,NA,"2016-03-15T22:33:50.364Z",213,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.787161,43.644989,0,2,2,1,1,1,1,2
"76",152,NA,NA,NA,NA,NA,"2016-03-15T22:36:11.024Z",215,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.733742,43.641013,NA,NA,NA,NA,NA,NA,NA,NA
"77",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T22:56:59.500Z",220,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.735229,43.615697,2,2,2,0,0,0,0,2
"78",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T22:56:28.838Z",219,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.789818,43.693694,0,0,0,0,0,0,1,0
"79",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T22:55:27.247Z",218,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.741753,43.668989,2,2,2,0,0,0,0,2
"80",162,NA,NA,NA,NA,NA,"2016-03-15T23:04:11.812Z",227,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.752224,43.620046,NA,NA,NA,NA,NA,NA,NA,NA
"81",166,"Bachelors","45 - 64  years","Male","Yes","Yes","2016-03-15T23:20:58.721Z",239,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.735573,43.625141,1,3,2,2,2,3,2,1
"82",172,NA,NA,NA,NA,NA,"2016-03-15T23:29:56.898Z",243,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.791878,43.646262,NA,NA,NA,NA,NA,NA,NA,NA
"83",174,NA,NA,NA,NA,NA,"2016-03-15T23:33:36.465Z",244,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.797371,43.616442,NA,NA,NA,NA,NA,NA,NA,NA
"84",175,NA,NA,NA,NA,NA,"2016-03-15T23:34:11.684Z",245,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.777115,43.659179,NA,NA,NA,NA,NA,NA,NA,NA
"85",178,NA,NA,NA,NA,NA,"2016-03-15T23:35:58.713Z",246,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659924,NA,NA,NA,NA,NA,NA,NA,NA
"86",179,"PhD or Higher","45 - 64  years","Male","Yes","No","2016-03-15T23:39:40.318Z",247,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.813507,43.699651,1,2,0,1,1,1,0,1
"87",179,"PhD or Higher","45 - 64  years","Male","Yes","No","2016-03-15T23:40:43.473Z",251,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.747246,43.618928,2,2,1,2,2,1,0,2
"88",181,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:40:10.194Z",249,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779261,43.659986,3,3,3,3,3,NA,3,3
"89",184,NA,NA,NA,NA,NA,"2016-03-15T23:40:25.852Z",250,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.772995,43.659179,NA,NA,NA,NA,NA,NA,NA,NA
"90",184,NA,NA,NA,NA,NA,"2016-03-15T23:40:59.712Z",252,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.721153,43.639802,NA,NA,NA,NA,NA,NA,NA,NA
"91",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:02:23.862Z",261,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.90362,43.737087,3,3,3,3,3,3,NA,3
"92",193,"High School","45 - 64  years","Female","No","Yes","2016-03-15T23:59:11.637Z",258,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.905513,43.644027,3,3,3,3,3,3,NA,3
"93",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:10:06.721Z",266,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",15,"POINT",-71.813399,43.594756,3,3,3,NA,NA,NA,NA,NA
"94",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:05:01.161Z",264,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.868557,43.673819,3,3,3,3,3,3,NA,3
"95",193,"High School","45 - 64  years","Female","No","Yes","2016-03-16T00:00:52.491Z",259,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.840787,43.589304,3,3,3,3,3,3,NA,3
"96",194,NA,NA,NA,NA,NA,"2016-03-16T00:01:07.786Z",260,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.791534,43.719505,NA,NA,NA,NA,NA,NA,NA,NA
"97",194,NA,NA,NA,NA,NA,"2016-03-16T00:02:46.223Z",262,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.70948,43.658682,NA,NA,NA,NA,NA,NA,NA,NA
"98",194,NA,NA,NA,NA,NA,"2016-03-16T00:04:30.679Z",263,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",12,"POINT",-71.83342,43.663153,NA,NA,NA,NA,NA,NA,NA,NA
"99",203,"PhD or Higher","65 - 84 years","Female","Yes","No","2016-03-16T00:12:53.813Z",268,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.731796,43.618679,NA,NA,NA,NA,NA,NA,NA,NA
"100",203,"PhD or Higher","65 - 84 years","Female","Yes","No","2016-03-16T00:14:22.862Z",270,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.737976,43.617188,NA,NA,NA,NA,NA,NA,NA,NA
"101",207,NA,NA,NA,NA,NA,"2016-03-16T00:22:30.052Z",275,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.834391,43.664685,1,2,3,1,1,1,NA,2
"102",207,NA,NA,NA,NA,NA,"2016-03-16T00:23:43.554Z",276,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.722527,43.642948,2,2,2,1,1,1,1,2
"103",208,NA,NA,NA,NA,NA,"2016-03-16T00:26:01.849Z",277,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.891098,43.661166,NA,NA,NA,NA,NA,NA,NA,NA
"104",216,NA,NA,NA,NA,NA,"2016-03-16T00:46:40.979Z",278,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.763983,43.632472,2,3,2,1,1,0,0,3
"105",216,NA,NA,NA,NA,NA,"2016-03-16T00:48:50.567Z",279,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.760979,43.625328,NA,NA,NA,NA,NA,NA,NA,NA
"106",219,NA,NA,NA,NA,NA,"2016-03-16T00:50:39.944Z",281,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.827068,43.697541,NA,NA,NA,NA,NA,NA,NA,NA
"107",220,"Bachelors","45 - 64  years","Male","No","No","2016-03-16T00:53:02.565Z",283,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.770763,43.6421,1,3,3,2,2,1,0,3
"108",220,"Bachelors","45 - 64  years","Male","No","No","2016-03-16T00:51:35.536Z",282,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.774368,43.637318,2,3,3,1,1,1,1,3
"109",220,"Bachelors","45 - 64  years","Male","No","No","2016-03-16T00:50:07.260Z",280,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.772652,43.639864,2,3,3,1,1,1,0,3
"110",222,NA,NA,NA,NA,NA,"2016-03-16T01:06:11.993Z",285,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",17,"POINT",-71.802092,43.664763,NA,NA,NA,NA,NA,NA,NA,NA
"111",223,NA,NA,NA,NA,NA,"2016-03-16T01:14:54.143Z",287,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.898136,43.620543,NA,NA,NA,NA,NA,3,NA,3
"112",223,NA,NA,NA,NA,NA,"2016-03-16T01:12:47.793Z",286,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",13,"POINT",-71.793766,43.683019,NA,3,3,NA,NA,3,NA,NA
"113",227,"Masters","65 - 84 years","Female","Yes","Yes","2016-03-16T01:42:46.433Z",289,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.742439,43.636075,NA,NA,NA,NA,NA,NA,NA,NA
"114",227,"Masters","65 - 84 years","Female","Yes","Yes","2016-03-16T01:42:13.984Z",288,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.734543,43.616691,NA,NA,NA,NA,NA,NA,NA,NA
"115",232,NA,NA,NA,NA,NA,"2016-03-16T02:00:56.678Z",294,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.913757,43.66663,NA,NA,NA,NA,NA,NA,NA,NA
"116",232,NA,NA,NA,NA,NA,"2016-03-16T01:59:33.696Z",292,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.806984,43.691708,NA,NA,NA,NA,NA,NA,NA,NA
"117",232,NA,NA,NA,NA,NA,"2016-03-16T01:59:59.274Z",293,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.83857,43.69841,NA,NA,NA,NA,NA,NA,NA,NA
